key,en,de,es,fr,it,ja,ko,pt,zh-Hans,ru
wildcard,%1,%1,%1,%1,%1,%1,%1,%1,%1,%1
play,PLAY,SPIELEN,A JUGAR,JOUER,GIOCA,プレイ,플레이,JOGUE,开始,Сыграй
remove_ads,Remove Ads,Werbung entfernen,Eliminar anuncios,Supprimer les publicités,Rimuovi pubblicità,広告を削除,광고 없애기,Remover Pub.,去除广告,Убрать рекламу
restore_purchases,Restore Purchases,Käufe Wiederherstellen,Restablecer compras,Restaurer Achats,Ripristina Acquisti,購入コンテンツを 復元,구매 복원하기,Restaurar Compras,恢复 购买,Восстановить покупки
credits,Credits,Mitwirkende,Créditos,Crédits,Riconoscimenti,クレジット,크레딧,Ficha Técnica,积分,Создатели игры
privacy_policy,Privacy Policy,Datenschutz,Política de privacidad,Politique de confidentialité,Informativa sulla riservatezza,プライバシーポリシー,개인정보 보호정책,Política de Privacidade,隐私政策,Политика конфиденциальности
contact_support,Contact Support,Kundendienst,Contactar a Soporte,Contacter l'assistance,Contatta supporto,サポートへのお問い合わせ,고객 지원,Contatar Suporte,联系客服,Служба поддержки
rate_game_title,HAVING FUN?,MACHT'S SPASS?,¿TE ESTÁS DIVIRTIENDO?,VOUS VOUS AMUSEZ ?,TI STAI DIVERTENDO?,楽しんでる？,게임을 즐기고 계신가요?,DIVERTINDO-SE?,好玩吗？,НРАВИТСЯ ИГРА?
rate_game_no_button,NO,NEIN,NO,NON,NO,いいえ,아니요,NÃO,不,НЕТ
rate_game_yes_button,YES,JA,SÍ,OUI,SÌ,はい,예,SIM,是,ДА
rate_game_body_text,Rate us five stars!,Gib uns eine Fünf-Sterne-Bewertung!,¡Danos una calificación de cinco estrellas!,Donnez-nous cinq étoiles !,Dacci cinque stelle!,ぜひ5つ星評価をお願いします！,별 다섯 개로 평가해 주세요!,Dê cinco estrelas para a gente!,给我们五星好评吧！,Оставь нам 5 звезд!
insufficient_funds_title,WHOOPS!,HOPPLA!,¡UPS!,OUPS !,OPS!,おっと！,이런!,OPA!,哎哟！,ОЙ!
insufficient_funds_close_button,No Thanks,Nein danke,"No, gracias",Non merci,"No, grazie",やめておく,사양할게요,"Não, obrigado",不，谢谢,"Нет, спасибо"
insufficient_funds_buy_more_button,Buy More,Mehr kaufen,Comprar más,En acheter plus,Acquistane di più,もっと購入する,더 구매하기,Comprar mais,购买更多,Купить еще
